ISBN,Titulo,Autor,Editorial,A§o,GÇnero,Resumen
9.78607E+12,BAJO LA MISMA ESTRELLA,John Green,NUBE DE TINTA,2013,Tragedia,"Emotiva, ir¢nica y afilada. Una novela te§ida de humor y de tragedia que habla de nuestra capacidad para so§ar incluso en las circunstancias m†s dif°ciles. Hazel acaba de cumplir 16 a§os. Y tiene c†ncer. A pesar de que un tratamiento ha conseguido reducir su tumor de forma casi milagrosa, es una enferma terminal. Los mÇdicos no pueden decirle cu†nto tiempo le queda; solo sabe que debe vivir pegada a un tanque de ox°geno y sometida a continuos tratamientos. Desde hace unas semanas, Hazel forma parte de un grupo de apoyo donde otros chicos como ella comparten sus experiencias. En realidad, ella acude m†s por obligaci¢n que por voluntad; ®quÇ sentido tiene hablar con otras personas de lo que nadie puede cambiar? Pero su vida da un verdadero vuelco cuando conoce a Gus Waters, un chico que, como ella, lucha por superar el c†ncer. Una historia que explora cu†n exquisita, inesperada y tr†gica puede ser la aventura de saberse vivo y querer a alguien.ˇ"
9.78849E+12,LA PARADOJA: UN RELATO SOBRE LA VERDADERA ESENCIA DEL LIDERAZGO,James C. Hunter,EMPRESAˇACTIVA,2013,Negocios,"®QuÇ cualidades se necesitan para ser un buen jefe? ®C¢mo se consiguen la autoridad y la credibilidad necesarias para dirigir de forma efectiva? Este libro responde a estas y a otras muchas preguntas, y nos recuerda los principios universales que nos permiten colaborar con los dem†s, ya sea en el trabajo o en el †mbito familiar:-no hay autoridad sin respeto.-el respeto no se funda en la imposici¢n ni en el miedo, sino en la integridad, la sinceridad y la empat°a con el pr¢jimo.-no podemos cambiar a nadie, s¢lo podemos cambiar nosotros mismos.-el trabajo lo hacen las personas, y no puede hacerse un buen trabajo sin cuidar las relaciones humanas. Los principios del liderazgo son tan simples que se nos han olvidado por completo. Confundimos la autoridad con el poder y el respeto con el miedo, lo que lleva a unas relaciones tensas y recelosas entre jefes y subordinados, y a un triste resultado: cuando un equipo trabaja para contentar al jefe, ®quiÇn se ocupa realmente del trabajo? en esta nueva edici¢n de la paradoja, el autor nos acompa§a un pr¢logo en donde relata la experiencia que le ha tra°do el Çxito de este libro y de su continuaci¢n: las claves de la paradoja, y sintetiza las nuevas ense§anzas que ha permitido que en todo el mundo se hayan aplicado con Çxitos sus principios de liderazgo."
9.78607E+12,DIVERGENTE 1,Veronica Roth,MOLINO,2013,Ciencia Ficci¢n,"La humanidad ha estado a punto de extinguirse a causa de una serie de terribles guerras. Por eso, la sociedad creada al comienzo de la gran paz ha decidido agrupar a las personas en cinco facciones que tratan de erradicar los males que les llevaron a la guerra. Quienes culpaban la agresividad, crearon cordialidad. Los que culpaban la ignorancia, se agruparon en erudici¢n. Contra el enga§o surgi¢ verdad, contra el ego°smo, abnegaci¢n, y contra la cobard°a, osad°a. A los diecisÇis a§os, cada individuo debe elegir si permanecer en la facci¢n de sus padres o cambiarse. Si se cambia, tendr† que renunciar a volver a ver a su familia. Tras la ceremonia de elecci¢n todos los chicos deben pasar por un proceso de iniciaci¢n: el que no lo supere se quedara sin facci¢n, convertido en un paria. La familia de Beatrice pertenece a abnegaci¢n y, aunque ella valora mucho el modo de vida de su facci¢n, no sabe si es lo suficientemente altruista como para dedicar su vida a los dem†s. La dif°cil elecci¢n de Beatrice marca el inicio de la saga, y la trama de divergente se centrara en las pruebas de iniciaci¢n. Beatrice tendr† que ganarse su puesto en la facci¢n y eso la llevara a competir contra sus compa§eros; har† aliados y enemigos, y conocer† a alguien muy especial, una persona que jam†s habr°a esperado encontrar. Pero el argumento de la saga de ver¢nica Roth va mucho m†s all†. En las p†ginas de este primer volumen descubriremos que significa eso de divergente y cu†les son los problemas pol°ticos de esta sociedad tan pacifica en apariencia. Divergente es una distop°a con todas las letras. No sabemos cu†l ser† el futuro del genero dist¢pico pero, si triunfa, ser† gracias a sagas como esta. No estamos frente a un libro lento, melanc¢lico o reflexivo; divergente es pura acci¢n. Una novela que engancha de la primera a la £ltima p†gina, que mantiene la tensi¢n en todo momento, llena de giros inesperados, situaciones radicales, bastantes dosis de violencia, mucha tensi¢n amorosa y una protagonista con car†cter. No es una novela perfecta; tiene alguna de las taras que acompa§an a todas las distop°as, pero sus pocos errores quedan r†pidamente eclipsados por sus virtudes. La jovenc°sima Ver¢nica Roth nos ha dejado muy gratamente sorprendidos, en especial por su habilidad a la hora de dar realismo al personaje de Beatrice y de transmitir sus sentimientos al lector."
9.78607E+12,LOS 11 PODERES DEL LIDER,Jorge Valdano,CONECTA,2013,Negocios,"JORGE VALDANO PARTE DE LA IDEA DE QUE TODO EQUIPO ES UN ESTADO DE µNIMO Y EXPONE CUµLES SON, DESDE SU PUNTO DE VISTA, LAS CARACTER÷STICAS NECESARIAS Y LOS PODERES DE UN L÷DER QUE SE ENCUENTRE AL FRENTE DE UN EQUIPO DE ALTO RENDIMIENTO. EL FÈTBOL ES UN JUEGO TAN PODEROSO QUE TIENDE PUENTES CON LA SOCIEDAD, CON LA CULTURA, CON LA COMUNICACI‡N Y, COMO DEMUESTRA ESTE LIBRO A TRAVêS DE MÈLTIPLES EJEMPLOS, TAMBIêN CON LA EMPRESA. VALDANO APROVECHA EXPERIENCIAS DEL µMBITO DEL DEPORTE PARA HABLAR DE LIDERAZGO, TRABAJO EN EQUIPO, MOTIVACI‡N Y TODO LO QUE AGITA A UN EQUIPO DE ALTA COMPETICI‡N. A TRAVêS DE ONCE GRANDES VALORES (LA CREDIBILIDAD, LA ESPERANZA, LA PASI‡N, LA HUMILDAD, EL ESTILO, LA PALABRA, LA CURIOSIDAD, EL TALENTO, EL VESTUARIO, LA SIMPLEZA Y EL êXITO), EJEMPLIFICADOS POR ENTRENADORES, JUGADORES Y MOMENTOS DRAMµTICOS DEL DEPORTE QUE MUEVE EL MUNDO, EL AUTOR RESUME LOS ELEMENTOS CLAVES DEL LIDERAZGO EN EL SIGLO XXI."
9.78608E+12,THE MAZE RUNNER 1 CORRER O MORIR,James Dashner,VERGARA Y RIBA EDITORAS,2010,Ciencia Ficci¢n,"AL DESPERTAR DENTRO DE UN OSCURO ELEVADOR EN MOVIMIENTO, LO ÈNICO QUE THOMAS LOGRA RECORDAR ES SU NOMBRE. NO SABE QUIêN ES. TAMPOCO HACIA D‡NDE VA. PERO NO ESTµ SOLO: CUANDO LA CAJA LLEGA A SU DESTINO, LAS PUERTAS SE ABREN Y SE VE RODEADO POR UN GRUPO DE J‡VENES. ìBIENVENIDO AL µREA, NOVICIO.î EL µREA. UN ESPACIO ABIERTO CERCADO POR MUROS GIGANTESCOS. AL IGUAL QUE THOMAS, NINGUNO DE ELLOS SABE C‡MO HA LLEGADO ALL÷. NI POR QUê. DE LO QUE ESTµN SEGUROS ES DE QUE CADA MA•ANA LAS PUERTAS DE PIEDRA DEL LABERINTO QUE LOS RODEA SE ABREN Y POR LA NOCHE, SE CIERRAN. Y QUE CADA TREINTA D÷AS ALGUIEN NUEVO ES ENTREGADO POR EL ELEVADOR. UN HECHO ALTERA DE FORMA RADICAL LA RUTINA DEL LUGAR: LLEGA UNA CHICA, LA PRIMERA ENVIADA AL µREA. Y MµS SORPRENDENTE TODAV÷A ES EL MENSAJE QUE TRAE. THOMAS SERµ MµS IMPORTANTE DE LO QUE IMAGINA. PERO PARA ESO DEBERµ DESCUBRIR LOS SOMBR÷OS SECRETOS GUARDADOS EN SU MENTE. POR ALGUNA RAZ‡N, SABE QUE PARA LOGRARLO DEBE CORRER. CORRER SERµ LA CLAVE. O MORIRµ. JAMES DASHNER HA URDIDO UN APASIONANTE THRILLER PSICOL‡GICO Y DE ACCI‡N. CORRER O MORIR ES EL PRIMER T÷TULO DE UNA TRILOG÷A QUE ATRAPARµ SIN CONCESIONES AL LECTOR. PORQUE CADA SALIDA PUEDE CONVERTIRSE EN EL PASAJE A UNA VERDADERA PESADILLA."
9.78607E+12,EL JUEGO DE RIPPER,Isabel Allende,PLAZAˇ& JANES EDITORES,2014,Thriller,"Mi madre todav°a est† viva, pero la matar†n el Viernes Santo a medianoche, le advirti¢ Amanda Mart°n al inspector jefe y Çste no lo puso en duda, porque la chica hab°a dado pruebas de saber m†s que Çl y todos sus colegas del Departamento de Homicidios. La mujer estaba cautiva en alg£n punto de los dieciocho mil kil¢metros cuadrados de la bah°a de San Francisco, ten°an pocas horas para encontrarla con vida y Çl no sab°a por d¢nde empezar a buscarla."
9.78607E+12,Los juegos del hambre 3: Sinsajo,Suzanne Collins,OCEANO TRAVESIA,2011,Ciencia Ficci¢n,"KATNISS EVERDEEN, LA CHICA EN LLAMAS, HA SOBREVIVIDO DE NUEVO A LOS JUEGOS, AUNQUE NO QUEDA NADA DE SU HOGAR. GALE HA ESCAPADO. SU FAMILIA ESTµ A SALVO. EL CAPITOLIO HA CAPTURADO A PEETA. EL DISTRITO 13 EXISTE DE VERDAD. HAY REBELDES. HAY NUEVOS L÷DERES. ESTµN EN PLENA REVOLUCI‡N. EL PLAN DE RESCATE PARA SACAR A KATNISS DE LA ARENA DEL CRUEL E INQUIETANTE VASALLAJE DE LOS VEINTICINCO NO FUE CASUAL, COMO TAMPOCO LO FUE QUE LLEVARA TIEMPO FORMANDO PARTE DE LA REVOLUCI‡N SIN SABERLO. EL DISTRITO 13 HA SURGIDO DE ENTRE LAS SOMBRAS Y QUIERE ACABAR CON EL CAPITOLIO. AL PARECER, TODOS HAN TENIDO ALGO QUE VER EN EL METICULOSO PLAN, TODOS MENOS KATNISS. EL êXITO DE LA REBELI‡N DEPENDE DE LO DISPUESTA QUE ELLA ESTê A SER UNA MARIONETA, A ACEPTAR LA RESPONSABILIDAD DE INCONTABLES VIDAS Y A CAMBIAR EL CURSO DEL FUTURO DE PANEM. PARA HACERLO DEBE DEJAR A UN LADO SUS SENTIMIENTOS DE RABIA Y DESCONFIANZA. DEBE CONVERTIRSE EN EL SINSAJO, A CUALQUIER PRECIO."
9.78607E+12,Aura,Carlos Fuentes,ERA,2012,Literatura Mexicana,"LEES ESE ANUNCIO: UNA OFERTA DE ESA NATURALEZA NO SE HACE TODOS LOS DIAS. LEES Y RELEES EL AVISO. PARECE DIRIGIDO A TI, A NADIE MAS: ASI COMIENZA AURA, UNA DE LAS NOVELAS MAS EMBRUJANTES DE LA LITERATURA MEXICANA, UNA LUCIDA Y A LA PAR ALUCINADA EXPLORACION DE ESA ZONA DEL ARTE DONDE EL HORROR ENGENDRA LA HERMOSURA, DONDE LO VERDADERO ES LO IMPOSIBLE, DONDE EL AMOR SACRIFICA LA VIDA Y LA INMORTALIDAD TIENE UN PRECIO QUE ALGUNOS ESTAN DISPUESTOS A PAGAR."
9.78607E+12,Las batallas en el desierto,Jose Emilio Pacheco,ERA,2011,Literatura Mexicana,"HISTORIA DE UN AMOR IMPOSIBLE, LAS BATALLAS EN EL DESIERTO ES UNA MAGISTRAL NOVELA BREVE QUE INVOLUCRA OTROS ASPECTOS COMO LA CORRUPCION SOCIAL Y POLITICA, EL INICIO DEL MEXICO MODERNO Y LA DESAPARICION DEL PAIS TRADICIONAL, Y EL RESCATE DE LAS MEMORIAS INDIVIDUALES Y COLECTIVAS DE UNA CIUDAD A LA QUE JOSE EMILIO PACHECO AMA PROFUNDAMENTE, PERO RECREA SIN NOSTALGIA Y DENUNCIA DE MANERA IMPLACABLE. DESDE SU APARICION, ESTA NOVELA CORTA, TRADUCIDA A VARIOS IDIOMAS Y PUBLICADA EN OTRAS PARTES DEL MUNDO HISPANO, ASOMBRO POR SU APARENTE SENCILLEZ Y LA ESTRUCTURA COMPLEJA QUE TIENDE LAZOS PARA UNA VARIEDAD DE LECTURAS MULTIPLES Y DIFERENTES, Y PARA UNA COMPLICIDAD QUE HERMANA PARA SIEMPRE AL LECTOR CON EL AUTOR."
9.78607E+12,Delirium,Lauren Oliver,EDICIONES SM,2013,Ciencia Ficci¢n,"EL AMOR CAUSA SUFRIMIENTO. POR ESO EN LA AVANZADA SOCIEDAD DEL SIGLO XXII LA GENTE SE SOMETE, A LOS DIECIOCHO A•OS, A UNA INTERVENCI‡N QUIRÈRGICA DONDE LES EXTRAEN LA PARTE DEL CEREBRO QUE CONTROLA LAS EMOCIONES. ES, GRACIAS A ESO, UNA SOCIEDAD LIBRE DE TODO TORMENTO SENTIMENTAL. LENA HOLOWEY ESTA A PUNTO DE LLEGAR A SU MAYOR÷A DE EDAD Y ESPERA, DESDE HACE MUCHO TIEMPO, ESA OPERACI‡N, QUE LA TRANSFORMARA EN UNA PERSONA SIN EMOCIONES, PERO SE TOPA CON UN PEQUE•O INCONVENIENTE: SE ENAMORA.UNA NOVELA SOBRE EL RIESGO QUE IMPLICA ENAMORARSE."
